chamber,Photo,CO2R,Ci,leaf,temp
ch01,22.78336461,1798.963623,1352.744911,shade,ambient
ch01,28.39784771,1800.258911,1509.608541,sun,ambient
ch02,18.25522836,1798.932251,1448.60591,shade,elevated
ch02,29.70151256,1799.192749,1479.450852,sun,elevated
ch03,19.49020508,1799.623413,1511.556288,shade,ambient
ch03,25.75740805,1800.533447,1478.720066,sun,ambient
ch04,18.10141073,1799.907227,1594.192612,shade,elevated
ch04,24.9968672,1801.158813,1232.878171,sun,elevated
ch05,25.73646436,1800.409546,1512.12148,shade,ambient
ch05,34.41347945,1799.790039,864.1926169,sun,ambient
ch06,29.48733887,1799.359741,1290.250618,sun,elevated
ch06,19.52200925,1800.122681,1416.697919,shade,elevated
ch07,20.24621279,1799.237305,1350.215183,sun,ambient
ch07,22.13213557,1799.324951,1275.969663,shade,ambient
ch08,30.75913759,1799.847168,1430.473876,sun,elevated
ch08,23.65658552,1799.296631,1435.575929,shade,elevated
ch09,19.84506678,1799.597656,1449.468759,shade,ambient
ch09,33.8932859,1798.504028,1102.878796,sun,ambient
ch10,18.63051254,1799.49231,1285.032804,shade,elevated
ch10,23.21041812,1799.445923,1507.803703,sun,elevated
ch11,27.69726955,1799.290283,1369.981957,sun,ambient
ch11,20.71615703,1799.556519,1440.58204,shade,ambient
ch12,17.07790418,1799.953003,1542.57731,shade,elevated
ch12,26.6680475,1800.314819,1529.428455,sun,elevated
