datetime,chamber,campaign,leaf,light,Month,temp,leaflight,id,licor,Obs,FTime,O2,EBal.,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R.W.m2.,Tl.Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci.Ca,RHsfc,C2sfc,xsi,DELTA,CO2Rdry,CO2Sdry,gm_bar,delta_i,delta_gm,delta_e,delta_f
2013-10-26 11:31:00,ch01,1,shade,high,Oct,ambient,shade-high,1-ch01-shade-high,H4,23,9049,21,0,17.78786017,0.222504378,219.8805808,2.772372033,1.340097347,21.76467133,6,1.420000017,1,2.840000033,20.22012711,21.76467133,19.04660988,400.2584534,362.5667725,7.053748131,12.54432297,30.152174,53.62236023,299.1593323,1074.857056,6.847001076,101.6846161,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498598887,0.002772372,294.9146713,293.3701271,171.9771251,0.390012528,2.615662012,25.72328158,13.17895861,20.99239922,2.494766291,0.206338459,1.275564665,1.219201626,0.130322636,22.35847244,0.60645541,51.56195836,354.1112756,10.40663893,12.93449375,403.1018322,367.1727055,0.259605103,18.23888354,4.20480815,0.1110429,1.607881208
2013-10-26 11:32:00,ch01,1,shade,high,Oct,ambient,shade-high,1-ch01-shade-high,H4,24,9129.5,21,0,18.24901064,0.225349121,217.5609763,2.722963552,1.301184465,21.46208,6,1.420000017,1,2.840000033,18.60722923,21.46208,17.05592918,400.4935303,361.9160767,7.061961651,12.45522213,33.37331009,58.8606987,299.1565247,1074.27124,6.339038372,101.685112,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498594208,0.002722964,294.61208,291.7572292,171.8833946,0.24756181,2.567695122,25.25143624,12.79621411,20.03465462,2.351653674,0.208782582,1.266510657,1.085143016,0.131882823,22.12271224,0.601136535,52.14802418,353.241371,10.25047164,10.79798174,403.3419154,366.4806749,0.192560924,18.07305225,5.810354293,0.10682302,1.605913083
2013-10-26 11:33:00,ch01,1,shade,high,Oct,ambient,shade-high,1-ch01-shade-high,H4,25,9210,21,0,18.26995368,0.229109846,219.5651049,2.711913009,1.276298643,21.29592896,6,1.420000017,1,2.840000033,18.05833817,21.29592896,16.39474678,400.4613342,361.8535461,7.07388258,12.44485188,34.59874344,60.86844635,299.1821594,1073.882202,6.649711132,101.6795654,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498636932,0.002711913,294.445929,291.2083382,171.8211485,0.204715024,2.541685774,24.99701649,12.55216461,19.67713356,2.30010465,0.212006737,1.265387131,1.034717519,0.133941534,22.32528445,0.606778923,52.6474007,353.1688852,10.17285147,11.03285802,403.3143324,366.4135079,0.195862572,18.19297003,5.717831978,0.107865856,1.605389709
2013-10-26 11:35:00,ch01,1,shade,high,Oct,ambient,shade-high,1-ch01-shade-high,H4,26,9290.5,21,0,18.22420115,0.230695891,220.9908959,2.663423714,1.245811138,21.03989029,6,1.420000017,1,2.840000033,17.62705612,21.03989029,15.92172146,400.4142151,361.9352417,7.079821587,12.35492134,35.58105469,62.09211731,299.2001038,1074.034302,6.434073448,101.6797943,0.478439569,0.165476829,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49866684,0.002663424,294.1898903,290.7770561,171.8454844,0.209504379,2.502056999,24.60721932,12.25229797,19.33347321,2.251490323,0.213364121,1.256245861,0.995244462,0.134808464,22.47030884,0.610581315,53.08217587,353.2723293,10.15949757,11.81819542,403.2692897,366.4628615,0.217028772,18.27567338,5.145344532,0.108936197,1.604777106
2013-10-26 11:04:00,ch01,1,shade,low,Oct,ambient,shade-low,1-ch01-shade-low,H4,18,7452,21,0,12.02916206,0.145470518,230.1676962,1.769360919,1.276510208,21.17014694,6,1.420000017,1,2.840000033,19.73135376,21.17014694,18.2568512,399.8750305,374.4176331,8.740151405,12.24574471,38.52272415,53.97382736,299.1266174,350.8963928,505.2416687,101.7201767,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498544362,0.001769361,294.3201469,292.8813538,56.1434216,-0.447482195,2.522149524,24.79497781,12.5492331,20.45075035,2.412920555,0.138382298,1.245639315,1.16728124,0.087099011,23.41269873,0.614735194,50.94562784,368.6995455,15.73824267,12.69355397,403.4008147,379.059499,0.143696692,18.89756472,5.10638835,0.170320231,1.60784767
2013-10-26 11:06:00,ch01,1,shade,low,Oct,ambient,shade-low,1-ch01-shade-low,H4,19,7532.5,21,0,12.11696019,0.147129912,230.7809943,1.721432493,1.228999471,20.77384186,6,1.420000017,1,2.840000033,19.10055733,20.77384186,18.09837532,399.904541,374.309906,8.705980301,12.11672592,39.90568161,55.53954697,299.1558838,351.1011353,571.6038818,101.7150803,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.49859314,0.001721432,293.9238419,292.2505573,56.17618038,-0.451476819,2.461453221,24.19949151,12.08276559,19.93719959,2.337502776,0.139883086,1.23245375,1.105049026,0.088050356,23.47390736,0.616550592,51.65152487,368.5500834,15.75567753,13.08002485,403.4166787,378.9009449,0.153936914,18.92102808,4.798313351,0.169549742,1.606477916
2013-10-26 11:07:00,ch01,1,shade,low,Oct,ambient,shade-low,1-ch01-shade-low,H4,20,7613,21,0,12.06115409,0.145802631,230.4176475,1.735412324,1.249642341,20.90505219,6,1.420000017,1,2.840000033,19.44880104,20.90505219,18.41640091,400.0984192,374.6061096,8.671161652,12.10937214,38.89525986,54.31765366,299.1784668,351.040741,590.0725708,101.7198257,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498630778,0.001735412,294.0550522,292.598801,56.1665173,-0.431269744,2.481405565,24.39451254,12.28514041,20.17692661,2.372446965,0.138682801,1.231763224,1.140683742,0.087289487,23.43804296,0.615093138,51.20838728,368.8728146,15.80653929,13.76493433,403.5980834,379.1979588,0.175110852,18.89730938,4.197493398,0.169943205,1.606238706
2013-10-26 11:08:00,ch01,1,shade,low,Oct,ambient,shade-low,1-ch01-shade-low,H4,21,7693.5,21,0,12.0720462,0.147213346,231.5205695,1.772866214,1.264784794,21.04329491,6,1.420000017,1,2.840000033,19.51068497,21.04329491,18.40276527,400.1968689,374.6492615,8.655942917,12.16885567,38.67732239,54.37405777,299.1180115,351.0375061,866.1118774,101.7183228,0.258133173,0.113555938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498530019,0.001772866,294.1932949,292.660685,56.16599972,-0.460963477,2.502580383,24.60304412,12.43418845,20.27698994,2.38716771,0.139958502,1.237795588,1.149372122,0.088098166,23.54988401,0.617966171,51.0514385,368.9107889,15.85424251,13.05037407,403.6911969,379.2644762,0.151313621,18.96737913,4.862241818,0.170778069,1.606241285
2013-10-26 11:55:00,ch01,1,sun,high,Oct,ambient,sun-high,1-ch01-sun-high,H4,28,10485,21,0,10.05736128,0.069819816,137.0960639,1.135415017,1.659755726,23.17787361,6,1.420000017,1,2.840000033,19.58249474,23.17787361,17.92606735,400.3200073,379.2828064,9.46244812,11.71322632,42.05803299,52.0621376,299.1273804,1073.536499,10.12497139,101.6343689,0.654617548,0.164705306,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498545634,0.001135415,296.3278736,292.7324947,171.765836,0.975139757,2.85022209,28.04388044,16.33065412,21.38018417,2.554846141,0.068144521,1.190466365,1.364379776,0.042737738,13.93367193,0.36146132,42.01204083,374.5020185,19.74416298,6.97736277,404.1442008,383.778086,0.12271902,13.11264374,5.009929753,0.103988717,1.616272106
2013-10-26 11:56:00,ch01,1,sun,high,Oct,ambient,sun-high,1-ch01-sun-high,H4,29,10565.5,21,0,10.38899113,0.071760344,135.2794235,1.169884042,1.664894389,23.23302841,6,1.420000017,1,2.840000033,19.3813591,23.23302841,17.6583004,400.5028992,378.7779541,9.437530518,11.75627136,42.4752121,52.91110229,299.1616516,1075.437378,9.957675934,101.6345749,0.654617548,0.164705306,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498602753,0.001169884,296.3830284,292.5313591,172.0699766,0.927487965,2.859738031,28.13745258,16.38118122,21.30719376,2.543441851,0.06999181,1.194843642,1.348598209,0.043900408,13.7490667,0.357147036,42.06066207,373.8395253,19.24737316,9.010400359,404.318669,383.2839442,0.201067002,12.99407281,3.159101738,0.098983748,1.615668846
